#REGION#HEADER#
Generatedtime
1729116419
#REGION#ECONOMY#
Name,X,Y,Z,Faction,FreePort,Beneficiary
#REGION#TERRITORY#
Name,X,Y,Z,Radius,Faction
Moonlet,43106012.7488285,14873096.0799997,-87273540.0976501,71040,ECO-NPC
Moonlet,281928717.517679,-11299561.4164501,-41465799.7063574,70370,ECO-NPC
Moonlet,52681053.5842559,4952849.4491436,91981310.8486162,69965,ECO-NPC
Moonlet,202142264.242638,1497525.924888,-137834639.983036,53070,ECO-NPC
Moonlet,98954103.6539746,2235225.04904478,53787698.7111553,54175,ECO-NPC
Moonlet,159279015.723159,3117752.60688934,-84512676.5841042,62910,ECO-NPC
Moonlet,86684260.268818,2339502.40416814,76241838.3790011,58255,ECO-NPC
Moonlet,69949678.3913361,7282454.0616613,10851968.9841018,61190,ECO-NPC
Moonlet,28910285.325463,14363684.2821619,-48693849.2941639,73435,ECO-NPC
Moonlet,67574684.9490513,14338578.7820074,-125520538.538251,40725,ECO-NPC
Moonlet,209650387.846867,481187.916770579,-132712543.029145,29355,ECO-NPC
Moonlet,94859237.9170402,11410077.2115471,-121708029.065023,25085,ECO-NPC
Moonlet,254255133.049078,-14307369.9587367,74037540.0765781,44185,ECO-NPC
Moonlet,252005679.46785,-13614727.484262,64495181.7495385,22715,ECO-NPC
Moonlet,228897747.298325,-11614831.1958012,70901536.3193737,53820,ECO-NPC
#REGION#FACTIONS#
FactionTag,Economy,Military,Friendly,Neutral,Enemy,Color
ECO-NPC,102,100,,,ECO-NPC/GLF-NPC/Danger,0.00 -0.80 -0.45
GLF-NPC,90,100,,,ECO-NPC/GLF-NPC/Danger,0.00 -0.80 -0.45
#REGION#PLANETS#
EntityId,Planet,Owner,Control,SpaceSiege,PlanetSiege
2671854769088975014,Moonlet,ECO-NPC,100,True,True
7249104190597792057,Moonlet,ECO-NPC,100,True,True
8263615235011172880,Moonlet,ECO-NPC,100,True,True
8663975914586124475,Moonlet,ECO-NPC,100,True,True
-604249919129624045,Moonlet,ECO-NPC,100,True,True
-2374037726505752285,Moonlet,ECO-NPC,100,True,True
7017031810001225905,Moonlet,ECO-NPC,100,True,True
2687093118127834035,Moonlet,ECO-NPC,100,True,True
7855250210484038131,Moonlet,ECO-NPC,100,True,True
5154847214351026382,Moonlet,ECO-NPC,100,True,True
5253721918303354406,Moonlet,ECO-NPC,100,True,True
5803377973990722717,Moonlet,ECO-NPC,100,True,True
-2824036948706213207,Moonlet,ECO-NPC,100,True,True
-4835497880819590571,Moonlet,ECO-NPC,100,True,True
-125208969261570979,Moonlet,ECO-NPC,100,True,True
0,RealGasGiant,ECO-NPC,100,False,False
